Payment_ID,Invoice_ID,Payment_Date,Payment_Amount,Method
PAY-00143,INV-00245,2023-05-24,976.45,PayPal
PAY-00144,INV-00246,2023-05-25,2604.51,PayPal
PAY-00145,INV-00250,2023-05-26,1382.22,PayPal
PAY-00146,INV-00252,2023-05-27,4208.6,Bank Transfer
PAY-00147,INV-00254,2023-05-28,2812.28,PayPal
PAY-00148,INV-00255,2023-05-29,727.05,PayPal
PAY-00149,INV-00256,2023-05-30,3718.12,PayPal
PAY-00150,INV-00257,2023-05-31,1030.9,Credit Card
PAY-00151,INV-00259,2023-06-01,3604.76,PayPal
PAY-00152,INV-00261,2023-06-02,4213.41,PayPal
PAY-00153,INV-00263,2023-06-03,4443.29,Bank Transfer
PAY-00154,INV-00265,2023-06-04,4136.37,Credit Card
PAY-00155,INV-00266,2023-06-05,3560.94,PayPal
PAY-00156,INV-00268,2023-06-06,3408.12,Credit Card
PAY-00157,INV-00269,2023-06-07,1559.9,Credit Card
PAY-00158,INV-00271,2023-06-08,3734.35,PayPal
PAY-00159,INV-00273,2023-06-09,708.11,PayPal
PAY-00160,INV-00275,2023-06-10,1612.63,PayPal
PAY-00161,INV-00278,2023-06-11,4878.9,PayPal
PAY-00162,INV-00280,2023-06-12,4137.02,PayPal
PAY-00163,INV-00281,2023-06-13,629.91,PayPal
PAY-00164,INV-00282,2023-06-14,3175.54,Bank Transfer
PAY-00165,INV-00283,2023-06-15,1034.36,Bank Transfer
PAY-00166,INV-00286,2023-06-16,4145.51,Credit Card
PAY-00167,INV-00287,2023-06-17,2383.08,Bank Transfer
PAY-00168,INV-00288,2023-06-18,1875.26,Bank Transfer
PAY-00169,INV-00290,2023-06-19,4141.06,PayPal
PAY-00170,INV-00294,2023-06-20,2242.04,Credit Card
PAY-00171,INV-00295,2023-06-21,1502.35,Credit Card
PAY-00172,INV-00297,2023-06-22,1057.4,Credit Card
PAY-00173,INV-00298,2023-06-23,4503.99,Bank Transfer
PAY-00174,INV-00299,2023-06-24,3745.21,Bank Transfer
PAY-00175,INV-00300,2023-06-25,2059.79,PayPal
PAY-00176,INV-00302,2023-06-26,1034.68,Credit Card
PAY-00177,INV-00305,2023-06-27,4533.32,Bank Transfer
PAY-00178,INV-00306,2023-06-28,3548.22,Bank Transfer
PAY-00179,INV-00307,2023-06-29,4079.56,Bank Transfer
PAY-00180,INV-00308,2023-06-30,2729.12,Credit Card
PAY-00181,INV-00309,2023-07-01,1879.84,Bank Transfer
PAY-00182,INV-00312,2023-07-02,2568.6,Bank Transfer
PAY-00183,INV-00313,2023-07-03,4106.7,Bank Transfer
PAY-00184,INV-00315,2023-07-04,1810.84,PayPal
PAY-00185,INV-00316,2023-07-05,4922.46,Credit Card
PAY-00186,INV-00317,2023-07-06,987.44,Credit Card
PAY-00187,INV-00318,2023-07-07,1957.79,Bank Transfer
PAY-00188,INV-00319,2023-07-08,933.45,Credit Card
PAY-00189,INV-00320,2023-07-09,3057.76,PayPal
PAY-00190,INV-00322,2023-07-10,4985.36,PayPal
PAY-00191,INV-00324,2023-07-11,2220.18,Credit Card
PAY-00192,INV-00328,2023-07-12,712.54,Bank Transfer
PAY-00193,INV-00329,2023-07-13,3005.1,Bank Transfer
PAY-00194,INV-00330,2023-07-14,2463.54,PayPal
PAY-00195,INV-00331,2023-07-15,2549.3,Credit Card
PAY-00196,INV-00333,2023-07-16,2345.66,Credit Card
PAY-00197,INV-00334,2023-07-17,1940.23,PayPal
PAY-00198,INV-00335,2023-07-18,2278.25,Credit Card
PAY-00199,INV-00337,2023-07-19,1499.75,Credit Card
PAY-00200,INV-00338,2023-07-20,3613.59,Credit Card
PAY-00201,INV-00339,2023-07-21,4421.37,PayPal
PAY-00202,INV-00340,2023-07-22,3774.3,Credit Card
PAY-00203,INV-00342,2023-07-23,628.26,Bank Transfer
PAY-00204,INV-00344,2023-07-24,4043.7,Bank Transfer
PAY-00205,INV-00346,2023-07-25,3937.91,Credit Card
PAY-00206,INV-00347,2023-07-26,4027.71,Credit Card
PAY-00207,INV-00350,2023-07-27,848.36,PayPal
PAY-00208,INV-00351,2023-07-28,4387.14,PayPal
PAY-00209,INV-00353,2023-07-29,903.61,Credit Card
PAY-00210,INV-00354,2023-07-30,4753.29,Bank Transfer
PAY-00211,INV-00357,2023-07-31,1180.73,Bank Transfer
PAY-00212,INV-00358,2023-08-01,1723.67,Bank Transfer
PAY-00213,INV-00359,2023-08-02,2343.29,PayPal
PAY-00214,INV-00360,2023-08-03,1410.08,PayPal
PAY-00215,INV-00361,2023-08-04,2856.2,PayPal
PAY-00216,INV-00363,2023-08-05,2045.24,PayPal
PAY-00217,INV-00364,2023-08-06,2918.76,Bank Transfer
PAY-00218,INV-00366,2023-08-07,1963.85,Credit Card
PAY-00219,INV-00367,2023-08-08,583.02,Bank Transfer
PAY-00220,INV-00368,2023-08-09,4795.76,PayPal
PAY-00221,INV-00369,2023-08-10,909.08,PayPal
PAY-00222,INV-00370,2023-08-11,3756.45,Bank Transfer
PAY-00223,INV-00371,2023-08-12,2516.31,Credit Card
PAY-00224,INV-00372,2023-08-13,620.17,Bank Transfer
PAY-00225,INV-00374,2023-08-14,2161.36,PayPal
PAY-00226,INV-00377,2023-08-15,3293.95,Credit Card
PAY-00227,INV-00378,2023-08-16,1475.51,PayPal
PAY-00228,INV-00380,2023-08-17,3263.55,Credit Card
PAY-00229,INV-00381,2023-08-18,3467.15,Credit Card
PAY-00230,INV-00382,2023-08-19,1471.4,Credit Card
PAY-00231,INV-00383,2023-08-20,2692.44,Credit Card
PAY-00232,INV-00384,2023-08-21,2864.23,PayPal
PAY-00233,INV-00385,2023-08-22,3844.74,PayPal
PAY-00234,INV-00390,2023-08-23,4973.7,Bank Transfer
PAY-00235,INV-00392,2023-08-24,4913.87,Credit Card
PAY-00236,INV-00393,2023-08-25,1539.61,Credit Card
PAY-00237,INV-00395,2023-08-26,967.43,Credit Card
PAY-00238,INV-00396,2023-08-27,4929.69,PayPal
PAY-00239,INV-00397,2023-08-28,825.22,Bank Transfer
PAY-00240,INV-00398,2023-08-29,1072.81,PayPal
PAY-00241,INV-00402,2023-08-30,1528.57,Credit Card
PAY-00242,INV-00404,2023-08-31,1360.99,Bank Transfer
PAY-00243,INV-00406,2023-09-01,2676.86,PayPal
PAY-00244,INV-00407,2023-09-02,4861.0,PayPal
PAY-00245,INV-00409,2023-09-03,1038.63,Bank Transfer
PAY-00246,INV-00410,2023-09-04,4500.39,Credit Card
PAY-00247,INV-00411,2023-09-05,669.46,Bank Transfer
PAY-00248,INV-00412,2023-09-06,1004.03,PayPal
PAY-00249,INV-00413,2023-09-07,2253.74,PayPal
PAY-00250,INV-00414,2023-09-08,4103.8,Credit Card
PAY-00251,INV-00415,2023-09-09,1149.33,Credit Card
PAY-00252,INV-00416,2023-09-10,4657.14,PayPal
PAY-00253,INV-00417,2023-09-11,980.61,PayPal
PAY-00254,INV-00418,2023-09-12,3998.75,Bank Transfer
PAY-00255,INV-00419,2023-09-13,3320.21,Bank Transfer
PAY-00256,INV-00420,2023-09-14,986.56,Bank Transfer
PAY-00257,INV-00423,2023-09-15,3199.4,Bank Transfer
PAY-00258,INV-00424,2023-09-16,970.67,Credit Card
PAY-00259,INV-00426,2023-09-17,3646.88,Credit Card
PAY-00260,INV-00427,2023-09-18,2971.14,PayPal
PAY-00261,INV-00428,2023-09-19,1141.0,Bank Transfer
PAY-00262,INV-00430,2023-09-20,4753.46,Bank Transfer
PAY-00263,INV-00434,2023-09-21,3341.5,PayPal
PAY-00264,INV-00435,2023-09-22,4105.06,Credit Card
PAY-00265,INV-00437,2023-09-23,4097.11,Credit Card
PAY-00266,INV-00438,2023-09-24,545.77,PayPal
PAY-00267,INV-00439,2023-09-25,639.01,Credit Card
PAY-00268,INV-00440,2023-09-26,1891.95,Bank Transfer
PAY-00269,INV-00441,2023-09-27,1915.15,Credit Card
PAY-00270,INV-00444,2023-09-28,659.4,PayPal
PAY-00271,INV-00445,2023-09-29,2134.48,Bank Transfer
PAY-00272,INV-00446,2023-09-30,1473.34,Credit Card
PAY-00273,INV-00447,2023-10-01,4393.28,Bank Transfer
PAY-00274,INV-00452,2023-10-02,3673.01,Bank Transfer
PAY-00275,INV-00453,2023-10-03,2253.02,PayPal
PAY-00276,INV-00454,2023-10-04,4415.86,Credit Card
PAY-00277,INV-00455,2023-10-05,3740.94,Credit Card
PAY-00278,INV-00456,2023-10-06,2966.58,Credit Card
PAY-00279,INV-00458,2023-10-07,762.02,PayPal
PAY-00280,INV-00459,2023-10-08,4765.33,PayPal
PAY-00281,INV-00460,2023-10-09,3843.2,Bank Transfer
PAY-00282,INV-00463,2023-10-10,3826.96,PayPal
PAY-00283,INV-00465,2023-10-11,4435.75,PayPal
PAY-00284,INV-00466,2023-10-12,2421.13,PayPal
PAY-00285,INV-00470,2023-10-13,1209.33,PayPal
PAY-00286,INV-00471,2023-10-14,4423.5,Bank Transfer
PAY-00287,INV-00473,2023-10-15,4794.76,PayPal
PAY-00288,INV-00474,2023-10-16,2191.49,PayPal
PAY-00289,INV-00476,2023-10-17,2798.85,PayPal
PAY-00290,INV-00478,2023-10-18,3591.95,PayPal
PAY-00291,INV-00479,2023-10-19,2723.46,Credit Card
PAY-00292,INV-00480,2023-10-20,1051.47,Bank Transfer
PAY-00293,INV-00481,2023-10-21,1750.06,Credit Card
PAY-00294,INV-00483,2023-10-22,4901.25,Bank Transfer
PAY-00295,INV-00485,2023-10-23,2944.49,Bank Transfer
PAY-00296,INV-00488,2023-10-24,3824.68,Bank Transfer
PAY-00297,INV-00489,2023-10-25,2244.34,Bank Transfer
PAY-00298,INV-00490,2023-10-26,652.49,Credit Card
PAY-00299,INV-00491,2023-10-27,747.42,Bank Transfer
PAY-00300,INV-00492,2023-10-28,1507.3,Bank Transfer
PAY-00301,INV-00493,2023-10-29,3757.0,PayPal
PAY-00302,INV-00497,2023-10-30,4126.83,Bank Transfer
PAY-00303,INV-00499,2023-10-31,3028.19,Bank Transfer
PAY-00304,INV-00500,2023-11-01,2362.84,Bank Transfer
PAY-00305,INV-00501,2023-11-02,2365.37,PayPal
PAY-00306,INV-00503,2023-11-03,1299.63,Credit Card
PAY-00307,INV-00504,2023-11-04,3965.28,PayPal
PAY-00308,INV-00506,2023-11-05,4233.97,Bank Transfer
PAY-00309,INV-00509,2023-11-06,2097.57,PayPal
PAY-00310,INV-00510,2023-11-07,2889.02,Bank Transfer
PAY-00311,INV-00511,2023-11-08,544.46,PayPal
PAY-00312,INV-00512,2023-11-09,1594.34,PayPal
PAY-00313,INV-00514,2023-11-10,3780.58,Credit Card
PAY-00314,INV-00516,2023-11-11,509.99,PayPal
PAY-00315,INV-00518,2023-11-12,1822.41,PayPal
PAY-00316,INV-00519,2023-11-13,687.23,PayPal
PAY-00317,INV-00520,2023-11-14,2489.89,Credit Card
PAY-00318,INV-00521,2023-11-15,1869.57,Bank Transfer
PAY-00319,INV-00524,2023-11-16,1967.18,Bank Transfer
PAY-00320,INV-00527,2023-11-17,4839.96,Credit Card
PAY-00321,INV-00529,2023-11-18,650.77,Bank Transfer
PAY-00322,INV-00533,2023-11-19,3524.64,Bank Transfer
PAY-00323,INV-00536,2023-11-20,2702.78,Credit Card
PAY-00324,INV-00539,2023-11-21,3045.86,PayPal
PAY-00325,INV-00540,2023-11-22,851.0,PayPal
PAY-00326,INV-00542,2023-11-23,1597.65,PayPal
PAY-00327,INV-00545,2023-11-24,736.65,Bank Transfer
PAY-00328,INV-00548,2023-11-25,4215.02,PayPal
PAY-00329,INV-00549,2023-11-26,707.77,Credit Card
PAY-00330,INV-00550,2023-11-27,4101.85,Credit Card
PAY-00331,INV-00551,2023-11-28,2579.57,Bank Transfer
PAY-00332,INV-00552,2023-11-29,2035.42,Bank Transfer
PAY-00333,INV-00554,2023-11-30,4213.46,Credit Card
PAY-00334,INV-00556,2023-12-01,3114.58,Bank Transfer
PAY-00335,INV-00557,2023-12-02,2390.8,Credit Card
PAY-00336,INV-00558,2023-12-03,2120.26,Bank Transfer
PAY-00337,INV-00559,2023-12-04,4225.62,PayPal
PAY-00338,INV-00560,2023-12-05,2956.8,Bank Transfer
PAY-00339,INV-00562,2023-12-06,1353.09,Credit Card
PAY-00340,INV-00563,2023-12-07,2953.37,Credit Card
PAY-00341,INV-00564,2023-12-08,1342.66,PayPal
PAY-00342,INV-00565,2023-12-09,4744.14,PayPal
PAY-00343,INV-00569,2023-12-10,3479.8,Credit Card
PAY-00344,INV-00571,2023-12-11,2057.69,PayPal
PAY-00345,INV-00573,2023-12-12,1360.58,PayPal
PAY-00346,INV-00575,2023-12-13,1819.59,Bank Transfer
PAY-00347,INV-00576,2023-12-14,4696.75,PayPal
PAY-00348,INV-00577,2023-12-15,2013.23,Bank Transfer
PAY-00349,INV-00578,2023-12-16,2684.03,Bank Transfer
PAY-00350,INV-00579,2023-12-17,4750.04,Credit Card
PAY-00351,INV-00582,2023-12-18,4715.8,Bank Transfer
PAY-00352,INV-00584,2023-12-19,1055.63,Credit Card
PAY-00353,INV-00586,2023-12-20,2473.69,PayPal
PAY-00354,INV-00587,2023-12-21,2561.19,Credit Card
PAY-00355,INV-00591,2023-12-22,3035.38,PayPal
PAY-00356,INV-00592,2023-12-23,2774.69,PayPal
PAY-00357,INV-00593,2023-12-24,4912.44,Credit Card
PAY-00358,INV-00594,2023-12-25,3442.35,Bank Transfer
PAY-00359,INV-00596,2023-12-26,3617.9,Credit Card
PAY-00360,INV-00598,2023-12-27,4202.08,Bank Transfer
PAY-00361,INV-00599,2023-12-28,4927.37,Bank Transfer
PAY-00362,INV-00601,2023-12-29,4324.11,Credit Card
PAY-00363,INV-00604,2023-12-30,1818.83,PayPal
PAY-00364,INV-00605,2023-12-31,2585.37,Credit Card
PAY-00365,INV-00606,2024-01-01,3111.93,Credit Card
PAY-00366,INV-00608,2024-01-02,4620.28,Credit Card
PAY-00367,INV-00610,2024-01-03,4157.09,PayPal
PAY-00368,INV-00611,2024-01-04,1357.58,Credit Card
PAY-00369,INV-00613,2024-01-05,4732.86,Bank Transfer
PAY-00370,INV-00616,2024-01-06,1726.32,Bank Transfer
PAY-00371,INV-00621,2024-01-07,4747.79,Credit Card
PAY-00372,INV-00622,2024-01-08,1086.13,Bank Transfer
PAY-00373,INV-00624,2024-01-09,4357.79,PayPal
PAY-00374,INV-00625,2024-01-10,2948.8,Credit Card
PAY-00375,INV-00626,2024-01-11,3384.8,PayPal
PAY-00376,INV-00627,2024-01-12,581.6,PayPal
PAY-00377,INV-00629,2024-01-13,4767.44,Bank Transfer
PAY-00378,INV-00630,2024-01-14,3318.13,PayPal
PAY-00379,INV-00632,2024-01-15,3208.01,Bank Transfer
PAY-00380,INV-00633,2024-01-16,2575.27,Credit Card
PAY-00381,INV-00634,2024-01-17,3660.66,Bank Transfer
PAY-00382,INV-00635,2024-01-18,1663.11,Bank Transfer
PAY-00383,INV-00640,2024-01-19,4700.18,PayPal
PAY-00384,INV-00645,2024-01-20,3944.87,Bank Transfer
PAY-00385,INV-00648,2024-01-21,2410.88,Credit Card
PAY-00386,INV-00649,2024-01-22,3242.84,PayPal
PAY-00387,INV-00652,2024-01-23,559.28,PayPal
PAY-00388,INV-00653,2024-01-24,920.5,Credit Card
PAY-00389,INV-00654,2024-01-25,4826.56,PayPal
PAY-00390,INV-00655,2024-01-26,1857.84,Bank Transfer
PAY-00391,INV-00657,2024-01-27,574.48,PayPal
PAY-00392,INV-00658,2024-01-28,2160.13,Bank Transfer
PAY-00393,INV-00659,2024-01-29,2674.44,Bank Transfer
PAY-00394,INV-00661,2024-01-30,4148.16,Credit Card
PAY-00395,INV-00662,2024-01-31,943.63,PayPal
PAY-00396,INV-00663,2024-02-01,2049.9,Bank Transfer
PAY-00397,INV-00667,2024-02-02,2386.73,PayPal
PAY-00398,INV-00668,2024-02-03,911.05,Bank Transfer
PAY-00399,INV-00669,2024-02-04,4315.53,Bank Transfer
PAY-00400,INV-00670,2024-02-05,4176.99,PayPal
PAY-00401,INV-00671,2024-02-06,4581.43,Credit Card
PAY-00402,INV-00672,2024-02-07,4645.94,Bank Transfer
PAY-00403,INV-00673,2024-02-08,1349.28,PayPal
PAY-00404,INV-00674,2024-02-09,3563.64,Credit Card
PAY-00405,INV-00675,2024-02-10,2714.18,Credit Card
PAY-00406,INV-00676,2024-02-11,1349.8,PayPal
PAY-00407,INV-00677,2024-02-12,579.01,Bank Transfer
PAY-00408,INV-00678,2024-02-13,3632.44,Credit Card
PAY-00409,INV-00679,2024-02-14,1198.56,Bank Transfer
PAY-00410,INV-00680,2024-02-15,2886.45,PayPal
PAY-00411,INV-00681,2024-02-16,1028.53,PayPal
PAY-00412,INV-00684,2024-02-17,4061.08,PayPal
PAY-00413,INV-00686,2024-02-18,617.09,Credit Card
PAY-00414,INV-00687,2024-02-19,1016.8,Bank Transfer
PAY-00415,INV-00689,2024-02-20,2476.77,PayPal
PAY-00416,INV-00691,2024-02-21,1328.51,PayPal
PAY-00417,INV-00695,2024-02-22,3179.67,Bank Transfer
PAY-00418,INV-00696,2024-02-23,1541.49,Credit Card
PAY-00419,INV-00697,2024-02-24,4275.77,PayPal
PAY-00420,INV-00698,2024-02-25,2055.1,Bank Transfer
PAY-00421,INV-00699,2024-02-26,2473.0,Bank Transfer
PAY-00422,INV-00700,2024-02-27,1390.52,PayPal
PAY-00423,INV-00702,2024-02-28,3272.65,Bank Transfer
PAY-00424,INV-00703,2024-02-29,3343.89,Bank Transfer
PAY-00425,INV-00704,2024-03-01,4685.62,PayPal
PAY-00426,INV-00705,2024-03-02,2177.62,PayPal
PAY-00427,INV-00706,2024-03-03,2881.73,Credit Card
PAY-00428,INV-00707,2024-03-04,2828.17,Credit Card
PAY-00429,INV-00711,2024-03-05,1788.48,Bank Transfer
PAY-00430,INV-00712,2024-03-06,4327.99,Bank Transfer
PAY-00431,INV-00714,2024-03-07,602.76,PayPal
PAY-00432,INV-00715,2024-03-08,4260.3,Credit Card
PAY-00433,INV-00716,2024-03-09,1315.03,Bank Transfer
PAY-00434,INV-00719,2024-03-10,2585.84,Bank Transfer
PAY-00435,INV-00721,2024-03-11,4559.66,PayPal
PAY-00436,INV-00722,2024-03-12,4239.84,Credit Card
PAY-00437,INV-00725,2024-03-13,3307.74,PayPal
PAY-00438,INV-00728,2024-03-14,958.24,Bank Transfer
PAY-00439,INV-00729,2024-03-15,3741.67,Bank Transfer
PAY-00440,INV-00730,2024-03-16,3587.97,PayPal
PAY-00441,INV-00732,2024-03-17,2236.73,Bank Transfer
PAY-00442,INV-00733,2024-03-18,2797.24,Bank Transfer
PAY-00443,INV-00734,2024-03-19,3025.3,Bank Transfer
PAY-00444,INV-00735,2024-03-20,4299.28,Credit Card
PAY-00445,INV-00736,2024-03-21,1830.14,PayPal
PAY-00446,INV-00737,2024-03-22,842.23,PayPal
PAY-00447,INV-00738,2024-03-23,4479.96,PayPal
