Invoice_ID,Vendor_ID,Invoice_Date,Total_Amount,Currency,Status,Exchange_Rate,Total_Amount_INR
INV-00043,VEND-016,2023-02-12,752.41,USD,Paid,82.5,62073.825
INV-00044,VEND-006,2023-02-13,2675.57,USD,Pending,82.5,220734.52500000002
INV-00045,VEND-010,2023-02-14,2086.48,USD,Paid,82.5,172134.6
INV-00046,VEND-011,2023-02-15,3579.19,USD,Pending,82.5,295283.175
INV-00047,VEND-014,2023-02-16,2537.36,USD,Pending,82.5,209332.2
INV-00048,VEND-013,2023-02-17,4193.91,USD,Pending,82.5,345997.575
INV-00049,VEND-010,2023-02-18,4310.3,EUR,Paid,89.0,383616.7
INV-00050,VEND-013,2023-02-19,794.13,USD,Paid,82.5,65515.725
INV-00051,VEND-017,2023-02-20,1284.82,USD,Pending,82.5,105997.65
INV-00052,VEND-008,2023-02-21,2485.89,USD,Paid,82.5,205085.925
INV-00053,VEND-014,2023-02-22,3506.1,GBP,Paid,102.0,357622.2
INV-00054,VEND-002,2023-02-23,2775.64,GBP,Paid,102.0,283115.27999999997
INV-00055,VEND-015,2023-02-24,2745.63,USD,Paid,82.5,226514.475
INV-00056,VEND-005,2023-02-25,2504.38,USD,Paid,82.5,206611.35
INV-00057,VEND-013,2023-02-26,3344.2,USD,Paid,82.5,275896.5
INV-00058,VEND-007,2023-02-27,3345.26,USD,Pending,82.5,275983.95
INV-00059,VEND-010,2023-02-28,4838.85,USD,Paid,82.5,399205.12500000006
INV-00060,VEND-020,2023-03-01,2539.34,USD,Pending,82.5,209495.55000000002
INV-00061,VEND-002,2023-03-02,4091.68,USD,Pending,82.5,337563.6
INV-00062,VEND-015,2023-03-03,4536.91,EUR,Pending,89.0,403784.99
INV-00063,VEND-003,2023-03-04,2860.96,EUR,Pending,89.0,254625.44
INV-00064,VEND-013,2023-03-05,4832.61,USD,Paid,82.5,398690.32499999995
INV-00065,VEND-004,2023-03-06,4507.16,USD,Paid,82.5,371840.7
INV-00066,VEND-017,2023-03-07,2214.73,USD,Pending,82.5,182715.225
INV-00067,VEND-020,2023-03-08,3213.81,USD,Pending,82.5,265139.325
INV-00068,VEND-004,2023-03-09,2708.78,USD,Paid,82.5,223474.35
INV-00069,VEND-011,2023-03-10,4485.6,USD,Paid,82.5,370062.00000000006
INV-00070,VEND-016,2023-03-11,4354.63,USD,Paid,82.5,359256.97500000003
INV-00071,VEND-011,2023-03-12,728.12,EUR,Pending,89.0,64802.68
INV-00072,VEND-018,2023-03-13,3381.87,USD,Pending,82.5,279004.27499999997
INV-00073,VEND-004,2023-03-14,716.68,USD,Pending,82.5,59126.1
INV-00074,VEND-013,2023-03-15,2809.04,USD,Paid,82.5,231745.8
INV-00075,VEND-016,2023-03-16,3043.83,EUR,Pending,89.0,270900.87
INV-00076,VEND-008,2023-03-17,1844.59,USD,Paid,82.5,152178.675
INV-00077,VEND-001,2023-03-18,2736.67,USD,Paid,82.5,225775.275
INV-00078,VEND-004,2023-03-19,1648.32,GBP,Paid,102.0,168128.63999999998
INV-00079,VEND-004,2023-03-20,4169.09,USD,Paid,82.5,343949.925
INV-00080,VEND-004,2023-03-21,784.73,GBP,Pending,102.0,80042.46
INV-00081,VEND-015,2023-03-22,2812.87,EUR,Pending,89.0,250345.43
INV-00082,VEND-017,2023-03-23,3853.76,EUR,Pending,89.0,342984.64
INV-00083,VEND-010,2023-03-24,1573.67,USD,Paid,82.5,129827.77500000001
INV-00084,VEND-014,2023-03-25,2639.92,EUR,Paid,89.0,234952.88
INV-00085,VEND-011,2023-03-26,2447.88,EUR,Paid,89.0,217861.32
INV-00086,VEND-009,2023-03-27,1576.4,EUR,Paid,89.0,140299.6
INV-00087,VEND-004,2023-03-28,1842.1,EUR,Pending,89.0,163946.9
INV-00088,VEND-010,2023-03-29,829.32,EUR,Paid,89.0,73809.48000000001
INV-00089,VEND-020,2023-03-30,1413.19,USD,Paid,82.5,116588.175
INV-00090,VEND-015,2023-03-31,3560.22,USD,Paid,82.5,293718.14999999997
INV-00091,VEND-018,2023-04-01,4345.21,EUR,Paid,89.0,386723.69
INV-00092,VEND-004,2023-04-02,4820.85,USD,Pending,82.5,397720.12500000006
INV-00093,VEND-007,2023-04-03,4512.14,EUR,Paid,89.0,401580.46
INV-00094,VEND-007,2023-04-04,3911.74,EUR,Paid,89.0,348144.86
INV-00095,VEND-001,2023-04-05,4475.95,USD,Pending,82.5,369265.875
INV-00096,VEND-013,2023-04-06,4706.73,GBP,Paid,102.0,480086.45999999996
INV-00097,VEND-004,2023-04-07,4706.82,EUR,Paid,89.0,418906.98
INV-00098,VEND-011,2023-04-08,2003.89,USD,Paid,82.5,165320.92500000002
INV-00099,VEND-008,2023-04-09,4087.15,USD,Paid,82.5,337189.875
INV-00100,VEND-013,2023-04-10,1803.65,USD,Paid,82.5,148801.125
INV-00101,VEND-012,2023-04-11,4918.05,USD,Pending,82.5,405739.125
INV-00102,VEND-005,2023-04-12,3939.54,USD,Pending,82.5,325012.05
INV-00103,VEND-012,2023-04-13,2093.07,EUR,Paid,89.0,186283.23
INV-00104,VEND-009,2023-04-14,2880.48,EUR,Paid,89.0,256362.72
INV-00105,VEND-002,2023-04-15,1628.98,USD,Pending,82.5,134390.85
INV-00106,VEND-019,2023-04-16,3065.98,EUR,Pending,89.0,272872.22000000003
INV-00107,VEND-014,2023-04-17,1457.48,EUR,Pending,89.0,129715.72
INV-00108,VEND-002,2023-04-18,3258.48,USD,Pending,82.5,268824.6
INV-00109,VEND-015,2023-04-19,4800.9,USD,Paid,82.5,396074.24999999994
INV-00110,VEND-009,2023-04-20,1495.47,USD,Pending,82.5,123376.27500000001
INV-00111,VEND-001,2023-04-21,4692.5,EUR,Pending,89.0,417632.5
INV-00112,VEND-009,2023-04-22,2926.35,EUR,Paid,89.0,260445.15
INV-00113,VEND-007,2023-04-23,2768.86,USD,Paid,82.5,228430.95
INV-00114,VEND-003,2023-04-24,2591.44,USD,Paid,82.5,213793.80000000002
INV-00115,VEND-001,2023-04-25,3023.84,GBP,Pending,102.0,308431.68
INV-00116,VEND-017,2023-04-26,3463.8,USD,Pending,82.5,285763.5
INV-00117,VEND-001,2023-04-27,1993.35,USD,Paid,82.5,164451.375
INV-00118,VEND-012,2023-04-28,3035.47,USD,Paid,82.5,250426.275
INV-00119,VEND-015,2023-04-29,4182.01,USD,Paid,82.5,345015.825
INV-00120,VEND-020,2023-04-30,3160.98,EUR,Pending,89.0,281327.22000000003
INV-00121,VEND-003,2023-05-01,4558.17,USD,Paid,82.5,376049.025
INV-00122,VEND-006,2023-05-02,4470.66,USD,Pending,82.5,368829.45
INV-00123,VEND-004,2023-05-03,4744.33,USD,Pending,82.5,391407.225
INV-00124,VEND-018,2023-05-04,2689.24,USD,Pending,82.5,221862.3
INV-00125,VEND-018,2023-05-05,2235.34,GBP,Paid,102.0,228004.68000000002
INV-00126,VEND-006,2023-05-06,2244.64,EUR,Pending,89.0,199772.96
INV-00127,VEND-016,2023-05-07,4641.1,USD,Paid,82.5,382890.75000000006
INV-00128,VEND-014,2023-05-08,2708.27,EUR,Pending,89.0,241036.03
INV-00129,VEND-010,2023-05-09,4410.43,EUR,Paid,89.0,392528.27
INV-00130,VEND-017,2023-05-10,2588.47,USD,Paid,82.5,213548.775
INV-00131,VEND-020,2023-05-11,4660.2,USD,Pending,82.5,384466.5
INV-00132,VEND-017,2023-05-12,3288.02,USD,Paid,82.5,271261.65
INV-00133,VEND-020,2023-05-13,4606.03,EUR,Paid,89.0,409936.67
INV-00134,VEND-020,2023-05-14,1475.56,EUR,Paid,89.0,131324.84
INV-00135,VEND-003,2023-05-15,738.92,USD,Pending,82.5,60960.899999999994
INV-00136,VEND-016,2023-05-16,3269.02,EUR,Pending,89.0,290942.77999999997
INV-00137,VEND-012,2023-05-17,1554.51,USD,Paid,82.5,128247.075
INV-00138,VEND-006,2023-05-18,4672.25,USD,Paid,82.5,385460.625
INV-00139,VEND-008,2023-05-19,4499.85,USD,Pending,82.5,371237.62500000006
INV-00140,VEND-006,2023-05-20,518.27,EUR,Paid,89.0,46126.03
INV-00141,VEND-013,2023-05-21,4402.09,USD,Pending,82.5,363172.425
INV-00142,VEND-019,2023-05-22,3471.27,USD,Paid,82.5,286379.775
INV-00143,VEND-013,2023-05-23,2533.35,USD,Paid,82.5,209001.375
INV-00144,VEND-002,2023-05-24,3816.1,GBP,Paid,102.0,389242.2
INV-00145,VEND-002,2023-05-25,4496.94,USD,Pending,82.5,370997.55
INV-00146,VEND-017,2023-05-26,2768.35,USD,Pending,82.5,228388.875
INV-00147,VEND-007,2023-05-27,2236.34,USD,Paid,82.5,184498.05000000002
INV-00148,VEND-008,2023-05-28,4307.96,GBP,Paid,102.0,439411.92
INV-00149,VEND-016,2023-05-29,1133.85,USD,Pending,82.5,93542.62499999999
INV-00150,VEND-006,2023-05-30,844.24,USD,Pending,82.5,69649.8
INV-00151,VEND-003,2023-05-31,3165.29,USD,Pending,82.5,261136.425
INV-00152,VEND-005,2023-06-01,1909.19,USD,Paid,82.5,157508.17500000002
INV-00153,VEND-008,2023-06-02,2883.55,EUR,Paid,89.0,256635.95
INV-00154,VEND-005,2023-06-03,2173.09,USD,Paid,82.5,179279.92500000002
INV-00155,VEND-003,2023-06-04,823.43,USD,Pending,82.5,67932.97499999999
INV-00156,VEND-016,2023-06-05,2763.39,USD,Paid,82.5,227979.675
INV-00157,VEND-018,2023-06-06,3505.36,EUR,Paid,89.0,311977.04000000004
INV-00158,VEND-019,2023-06-07,1234.66,USD,Pending,82.5,101859.45000000001
INV-00159,VEND-012,2023-06-08,1546.84,USD,Paid,82.5,127614.29999999999
INV-00160,VEND-015,2023-06-09,2950.46,USD,Paid,82.5,243412.95
INV-00161,VEND-010,2023-06-10,3575.29,USD,Paid,82.5,294961.425
INV-00162,VEND-003,2023-06-11,1974.6,USD,Pending,82.5,162904.5
INV-00163,VEND-011,2023-06-12,1802.88,USD,Paid,82.5,148737.6
INV-00164,VEND-011,2023-06-13,2940.1,USD,Paid,82.5,242558.25
INV-00165,VEND-005,2023-06-14,3405.25,GBP,Pending,102.0,347335.5
INV-00166,VEND-005,2023-06-15,3761.31,USD,Pending,82.5,310308.075
INV-00167,VEND-016,2023-06-16,2709.0,EUR,Paid,89.0,241101.0
INV-00168,VEND-012,2023-06-17,595.7,EUR,Pending,89.0,53017.3
INV-00169,VEND-011,2023-06-18,1819.64,USD,Pending,82.5,150120.30000000002
INV-00170,VEND-006,2023-06-19,4936.09,USD,Pending,82.5,407227.425
INV-00171,VEND-015,2023-06-20,2444.38,USD,Paid,82.5,201661.35
INV-00172,VEND-016,2023-06-21,1378.71,USD,Pending,82.5,113743.575
INV-00173,VEND-013,2023-06-22,898.71,GBP,Pending,102.0,91668.42
INV-00174,VEND-020,2023-06-23,1824.39,USD,Paid,82.5,150512.17500000002
INV-00175,VEND-013,2023-06-24,2693.65,USD,Paid,82.5,222226.125
INV-00176,VEND-012,2023-06-25,1332.53,USD,Pending,82.5,109933.72499999999
INV-00177,VEND-019,2023-06-26,3780.48,USD,Paid,82.5,311889.6
INV-00178,VEND-007,2023-06-27,4601.46,EUR,Paid,89.0,409529.94
INV-00179,VEND-006,2023-06-28,4281.48,EUR,Pending,89.0,381051.72
INV-00180,VEND-017,2023-06-29,743.88,EUR,Paid,89.0,66205.31999999999
INV-00181,VEND-003,2023-06-30,3177.37,USD,Paid,82.5,262133.025
INV-00182,VEND-003,2023-07-01,4382.45,GBP,Pending,102.0,447009.89999999997
INV-00183,VEND-020,2023-07-02,4647.83,EUR,Paid,89.0,413656.87
INV-00184,VEND-019,2023-07-03,3593.74,USD,Paid,82.5,296483.55
INV-00185,VEND-008,2023-07-04,3492.85,USD,Paid,82.5,288160.125
INV-00186,VEND-002,2023-07-05,1229.39,USD,Pending,82.5,101424.675
INV-00187,VEND-014,2023-07-06,676.94,USD,Paid,82.5,55847.55
INV-00188,VEND-003,2023-07-07,2669.07,USD,Pending,82.5,220198.27500000002
INV-00189,VEND-003,2023-07-08,3639.36,USD,Paid,82.5,300247.2
INV-00190,VEND-013,2023-07-09,4840.15,USD,Paid,82.5,399312.37499999994
INV-00191,VEND-001,2023-07-10,4564.13,EUR,Paid,89.0,406207.57
INV-00192,VEND-003,2023-07-11,1445.91,USD,Pending,82.5,119287.57500000001
INV-00193,VEND-008,2023-07-12,3182.88,USD,Paid,82.5,262587.60000000003
INV-00194,VEND-016,2023-07-13,3257.6,USD,Paid,82.5,268752.0
INV-00195,VEND-001,2023-07-14,1137.43,USD,Pending,82.5,93837.975
INV-00196,VEND-015,2023-07-15,1928.73,USD,Pending,82.5,159120.225
INV-00197,VEND-009,2023-07-16,2733.23,USD,Paid,82.5,225491.475
INV-00198,VEND-015,2023-07-17,3191.73,USD,Paid,82.5,263317.725
INV-00199,VEND-019,2023-07-18,3559.29,USD,Pending,82.5,293641.425
INV-00200,VEND-017,2023-07-19,960.13,EUR,Paid,89.0,85451.56999999999
INV-00201,VEND-003,2023-07-20,2789.4,USD,Pending,82.5,230125.5
INV-00202,VEND-011,2023-07-21,4506.92,USD,Paid,82.5,371820.9
INV-00203,VEND-014,2023-07-22,2904.36,EUR,Pending,89.0,258488.04
INV-00204,VEND-018,2023-07-23,4761.94,EUR,Paid,89.0,423812.66
INV-00205,VEND-001,2023-07-24,550.71,USD,Pending,82.5,45433.575000000004
INV-00206,VEND-011,2023-07-25,3343.21,USD,Paid,82.5,275814.825
INV-00207,VEND-011,2023-07-26,3883.95,EUR,Pending,89.0,345671.55
INV-00208,VEND-008,2023-07-27,1964.41,USD,Paid,82.5,162063.825
INV-00209,VEND-010,2023-07-28,1295.55,EUR,Paid,89.0,115303.95
INV-00210,VEND-010,2023-07-29,2686.77,EUR,Pending,89.0,239122.53
INV-00211,VEND-004,2023-07-30,4949.32,USD,Paid,82.5,408318.89999999997
INV-00212,VEND-011,2023-07-31,3121.11,USD,Paid,82.5,257491.575
INV-00213,VEND-004,2023-08-01,1883.73,USD,Pending,82.5,155407.725
INV-00214,VEND-007,2023-08-02,3950.27,USD,Pending,82.5,325897.275
INV-00215,VEND-009,2023-08-03,2128.07,USD,Paid,82.5,175565.77500000002
INV-00216,VEND-009,2023-08-04,2616.62,GBP,Pending,102.0,266895.24
INV-00217,VEND-015,2023-08-05,1824.89,USD,Pending,82.5,150553.42500000002
INV-00218,VEND-002,2023-08-06,1999.26,USD,Paid,82.5,164938.95
INV-00219,VEND-007,2023-08-07,1683.6,USD,Pending,82.5,138897.0
INV-00220,VEND-017,2023-08-08,4744.71,USD,Paid,82.5,391438.575
INV-00221,VEND-012,2023-08-09,2872.49,USD,Paid,82.5,236980.425
INV-00222,VEND-010,2023-08-10,2774.53,USD,Pending,82.5,228898.725
INV-00223,VEND-012,2023-08-11,4767.25,USD,Pending,82.5,393298.125
INV-00224,VEND-019,2023-08-12,4241.53,USD,Pending,82.5,349926.225
INV-00225,VEND-004,2023-08-13,1353.89,USD,Pending,82.5,111695.925
INV-00226,VEND-017,2023-08-14,3120.8,GBP,Paid,102.0,318321.60000000003
INV-00227,VEND-016,2023-08-15,834.08,USD,Pending,82.5,68811.6
INV-00228,VEND-003,2023-08-16,3728.48,USD,Paid,82.5,307599.6
INV-00229,VEND-015,2023-08-17,3964.9,EUR,Paid,89.0,352876.10000000003
INV-00230,VEND-006,2023-08-18,3714.14,USD,Paid,82.5,306416.55
INV-00231,VEND-009,2023-08-19,2484.22,EUR,Pending,89.0,221095.58
INV-00232,VEND-019,2023-08-20,4240.81,USD,Pending,82.5,349866.825
INV-00233,VEND-016,2023-08-21,569.0,USD,Paid,82.5,46942.5
INV-00234,VEND-020,2023-08-22,4284.18,USD,Paid,82.5,353444.85000000003
INV-00235,VEND-010,2023-08-23,4243.33,EUR,Paid,89.0,377656.37
INV-00236,VEND-010,2023-08-24,2036.06,USD,Pending,82.5,167974.94999999998
INV-00237,VEND-018,2023-08-25,2464.3,USD,Pending,82.5,203304.75000000003
INV-00238,VEND-003,2023-08-26,3775.76,EUR,Paid,89.0,336042.64
INV-00239,VEND-020,2023-08-27,1623.55,USD,Pending,82.5,133942.875
INV-00240,VEND-014,2023-08-28,1939.79,USD,Pending,82.5,160032.675
INV-00241,VEND-009,2023-08-29,3726.44,USD,Pending,82.5,307431.3
INV-00242,VEND-004,2023-08-30,938.8,USD,Paid,82.5,77451.0
INV-00243,VEND-003,2023-08-31,1232.82,USD,Pending,82.5,101707.65
INV-00244,VEND-009,2023-09-01,4842.88,USD,Paid,82.5,399537.60000000003
INV-00245,VEND-006,2023-09-02,976.45,USD,Paid,82.5,80557.125
INV-00246,VEND-003,2023-09-03,2604.51,USD,Paid,82.5,214872.075
INV-00247,VEND-011,2023-09-04,4810.16,EUR,Pending,89.0,428104.24
INV-00248,VEND-001,2023-09-05,788.86,USD,Pending,82.5,65080.950000000004
INV-00249,VEND-010,2023-09-06,1849.08,USD,Pending,82.5,152549.1
INV-00250,VEND-009,2023-09-07,1382.22,USD,Paid,82.5,114033.15000000001
INV-00251,VEND-017,2023-09-08,2774.28,USD,Pending,82.5,228878.1
INV-00252,VEND-011,2023-09-09,4208.6,USD,Paid,82.5,347209.50000000006
INV-00253,VEND-012,2023-09-10,1259.99,EUR,Pending,89.0,112139.11
INV-00254,VEND-005,2023-09-11,2812.28,GBP,Paid,102.0,286852.56
INV-00255,VEND-011,2023-09-12,727.05,EUR,Paid,89.0,64707.45
INV-00256,VEND-020,2023-09-13,3718.12,USD,Paid,82.5,306744.89999999997
INV-00257,VEND-007,2023-09-14,1030.9,GBP,Paid,102.0,105151.8
INV-00258,VEND-002,2023-09-15,1601.67,USD,Pending,82.5,132137.775
INV-00259,VEND-019,2023-09-16,3604.76,USD,Paid,82.5,297392.7
INV-00260,VEND-008,2023-09-17,1597.09,USD,Pending,82.5,131759.925
INV-00261,VEND-006,2023-09-18,4213.41,EUR,Paid,89.0,374993.49
INV-00262,VEND-019,2023-09-19,1287.62,EUR,Pending,89.0,114598.18
INV-00263,VEND-002,2023-09-20,4443.29,USD,Paid,82.5,366571.425
INV-00264,VEND-014,2023-09-21,1706.71,GBP,Pending,102.0,174084.42
INV-00265,VEND-010,2023-09-22,4136.37,USD,Paid,82.5,341250.52499999997
INV-00266,VEND-008,2023-09-23,3560.94,USD,Paid,82.5,293777.55
INV-00267,VEND-011,2023-09-24,3311.41,USD,Pending,82.5,273191.325
INV-00268,VEND-012,2023-09-25,3408.12,EUR,Paid,89.0,303322.68
INV-00269,VEND-017,2023-09-26,1559.9,USD,Paid,82.5,128691.75000000001
INV-00270,VEND-001,2023-09-27,3964.81,USD,Pending,82.5,327096.825
INV-00271,VEND-004,2023-09-28,3734.35,EUR,Paid,89.0,332357.14999999997
INV-00272,VEND-014,2023-09-29,4466.39,GBP,Pending,102.0,455571.78
INV-00273,VEND-010,2023-09-30,708.11,USD,Paid,82.5,58419.075000000004
INV-00274,VEND-017,2023-10-01,1639.58,USD,Pending,82.5,135265.35
INV-00275,VEND-010,2023-10-02,1612.63,USD,Paid,82.5,133041.975
INV-00276,VEND-003,2023-10-03,3469.03,USD,Pending,82.5,286194.97500000003
INV-00277,VEND-001,2023-10-04,867.7,USD,Pending,82.5,71585.25
INV-00278,VEND-019,2023-10-05,4878.9,USD,Paid,82.5,402509.24999999994
INV-00279,VEND-016,2023-10-06,4356.64,EUR,Pending,89.0,387740.96
INV-00280,VEND-011,2023-10-07,4137.02,USD,Paid,82.5,341304.15
INV-00281,VEND-018,2023-10-08,629.91,USD,Paid,82.5,51967.575
INV-00282,VEND-001,2023-10-09,3175.54,USD,Paid,82.5,261982.05
INV-00283,VEND-006,2023-10-10,1034.36,EUR,Paid,89.0,92058.04
INV-00284,VEND-012,2023-10-11,2906.34,USD,Pending,82.5,239773.05000000002
INV-00285,VEND-014,2023-10-12,1631.35,USD,Pending,82.5,134586.375
INV-00286,VEND-005,2023-10-13,4145.51,EUR,Paid,89.0,368950.39
INV-00287,VEND-013,2023-10-14,2383.08,USD,Paid,82.5,196604.1
INV-00288,VEND-017,2023-10-15,1875.26,GBP,Paid,102.0,191276.52
INV-00289,VEND-004,2023-10-16,3075.98,USD,Pending,82.5,253768.35
INV-00290,VEND-011,2023-10-17,4141.06,EUR,Paid,89.0,368554.34
INV-00291,VEND-006,2023-10-18,3171.14,USD,Pending,82.5,261619.05
INV-00292,VEND-019,2023-10-19,3005.09,USD,Pending,82.5,247919.92500000002
INV-00293,VEND-019,2023-10-20,509.39,EUR,Pending,89.0,45335.71
INV-00294,VEND-016,2023-10-21,2242.04,USD,Paid,82.5,184968.3
INV-00295,VEND-010,2023-10-22,1502.35,USD,Paid,82.5,123943.87499999999
INV-00296,VEND-010,2023-10-23,3927.01,USD,Pending,82.5,323978.325
INV-00297,VEND-013,2023-10-24,1057.4,EUR,Paid,89.0,94108.6
INV-00298,VEND-010,2023-10-25,4503.99,USD,Paid,82.5,371579.175
INV-00299,VEND-001,2023-10-26,3745.21,USD,Paid,82.5,308979.825
INV-00300,VEND-002,2023-10-27,2059.79,USD,Paid,82.5,169932.675
INV-00301,VEND-008,2023-10-28,4151.05,USD,Pending,82.5,342461.625
INV-00302,VEND-009,2023-10-29,1034.68,GBP,Paid,102.0,105537.36
INV-00303,VEND-003,2023-10-30,1819.37,USD,Pending,82.5,150098.025
INV-00304,VEND-020,2023-10-31,1629.55,USD,Pending,82.5,134437.875
INV-00305,VEND-006,2023-11-01,4533.32,GBP,Paid,102.0,462398.63999999996
INV-00306,VEND-009,2023-11-02,3548.22,USD,Paid,82.5,292728.14999999997
INV-00307,VEND-014,2023-11-03,4079.56,USD,Paid,82.5,336563.7
INV-00308,VEND-012,2023-11-04,2729.12,USD,Paid,82.5,225152.4
INV-00309,VEND-002,2023-11-05,1879.84,USD,Paid,82.5,155086.8
INV-00310,VEND-002,2023-11-06,3406.08,GBP,Pending,102.0,347420.16
INV-00311,VEND-014,2023-11-07,1657.42,USD,Pending,82.5,136737.15
INV-00312,VEND-009,2023-11-08,2568.6,USD,Paid,82.5,211909.5
INV-00313,VEND-008,2023-11-09,4106.7,EUR,Paid,89.0,365496.3
INV-00314,VEND-015,2023-11-10,3895.97,USD,Pending,82.5,321417.52499999997
INV-00315,VEND-019,2023-11-11,1810.84,USD,Paid,82.5,149394.3
INV-00316,VEND-011,2023-11-12,4922.46,USD,Paid,82.5,406102.95
INV-00317,VEND-018,2023-11-13,987.44,EUR,Paid,89.0,87882.16
INV-00318,VEND-009,2023-11-14,1957.79,USD,Paid,82.5,161517.675
INV-00319,VEND-004,2023-11-15,933.45,USD,Paid,82.5,77009.625
INV-00320,VEND-018,2023-11-16,3057.76,USD,Paid,82.5,252265.2
INV-00321,VEND-001,2023-11-17,3376.73,USD,Pending,82.5,278580.225
INV-00322,VEND-018,2023-11-18,4985.36,USD,Paid,82.5,411292.19999999995
INV-00323,VEND-013,2023-11-19,3512.77,USD,Pending,82.5,289803.525
INV-00324,VEND-008,2023-11-20,2220.18,USD,Paid,82.5,183164.84999999998
INV-00325,VEND-017,2023-11-21,2061.27,USD,Pending,82.5,170054.775
INV-00326,VEND-002,2023-11-22,4637.71,USD,Pending,82.5,382611.075
INV-00327,VEND-015,2023-11-23,4074.21,USD,Pending,82.5,336122.325
INV-00328,VEND-006,2023-11-24,712.54,USD,Paid,82.5,58784.549999999996
INV-00329,VEND-012,2023-11-25,3005.1,USD,Paid,82.5,247920.75
INV-00330,VEND-001,2023-11-26,2463.54,USD,Paid,82.5,203242.05
INV-00331,VEND-001,2023-11-27,2549.3,USD,Paid,82.5,210317.25000000003
INV-00332,VEND-015,2023-11-28,818.43,USD,Pending,82.5,67520.47499999999
INV-00333,VEND-007,2023-11-29,2345.66,EUR,Paid,89.0,208763.74
INV-00334,VEND-008,2023-11-30,1940.23,USD,Paid,82.5,160068.975
INV-00335,VEND-006,2023-12-01,2278.25,USD,Paid,82.5,187955.625
INV-00336,VEND-017,2023-12-02,2187.18,EUR,Pending,89.0,194659.02
INV-00337,VEND-013,2023-12-03,1499.75,USD,Paid,82.5,123729.375
INV-00338,VEND-010,2023-12-04,3613.59,USD,Paid,82.5,298121.175
